,TIER,SYMBOL,PRICE,% CHANGE,$ VOL,SHARE_VOL,TRADES
96,qb,SNNVF,3.18,-2.37,"291,861","92,190",179
97,qb,SOLCF,1.67,-11.42,"286,463","167,667",205
98,qb,NXTTF,0.56,0.00,"283,616","500,024",369
99,qx,TGRF,11.82,-0.34,"283,174","23,918",12
100,qb,CADMF,1.53,-1.71,"277,786","179,799",238
101,qb,VEND,0.68,+9.68,"277,679","438,643",165
102,qx,BNCC,29.20,+6.26,"260,582","9,019",19
103,qb,LBUY,0.97,-3.96,"254,410","261,494",183
104,qb,MPMQ,32.00,0.00,"249,600","7,800",6
105,qx,ETCG,14.00,-1.06,"245,834","17,280",95
106,qx,MAKSY,7.22,-3.86,"237,905","32,869",74
107,qx,VVCIF,0.587,-5.32,"229,659","387,495",162
108,qx,LMCNF,1.086,+0.42,"228,916","215,160",112
109,qb,NWBO,0.303,+2.16,"227,515","757,726",152
110,qb,FMCKN,9.00,-0.55,"225,892","25,100",28
111,qx,TRSSF,6.032,-2.08,"224,899","37,293",135
112,qx,HINKF,107.01,-1.78,"223,727","2,062",7
113,qx,RGSE,0.072,-11.76,"220,302","2,844,144",287
114,qb,LQMT,0.124,-0.80,"219,800","1,794,220",88
115,qb,FNRN,11.90,+0.68,"219,115","18,480",7
116,qb,CYDY,0.405,-3.57,"216,108","531,589",137
117,qb,BYOC,0.0097,-29.20,"212,097","20,558,587",349
118,qx,WDDMF,1.31,-2.96,"211,847","163,336",159
119,qx,UPMKY,28.38,+1.94,"206,831","7,307",53
120,qx,RVRA,14.70,-1.93,"206,049","14,037",16
121,qb,CBDS,2.03,-5.58,"200,872","97,084",161
122,qx,DLAKY,24.01,-0.41,"198,826","8,281",45
123,qb,FNMAH,9.24,-0.11,"196,385","21,400",21
124,qx,CIBEY,4.21,-2.09,"193,954","45,753",32
125,qb,ATGN,1.16,-6.45,"192,071","165,535",30
126,qb,TURV,0.511,+5.36,"191,471","376,671",165
127,qx,HVBTF,0.346,-1.70,"189,437","542,813",143
128,qx,AGEEF,0.545,-0.91,"187,600","344,527",114
129,qb,GTBDF,1.73,-7.24,"183,955","104,550",75
130,qb,ARTH,0.3675,-4.67,"181,830","475,850",63
131,qb,BTTR,5.00,-10.71,"180,423","36,480",18
132,qx,CBLLF,3.05,-3.79,"179,765","59,263",72
133,qx,RDDTF,0.7149,-1.47,"175,311","249,476",107
134,qb,OZSC,0.24,+29.73,"174,962","806,361",103
135,qb,WSLFF,0.59,-9.23,"165,055","273,050",173
136,qb,BBRRF,0.515,-6.74,"164,637","315,695",122
137,qx,NHYDY,4.28,-2.51,"157,534","37,428",137
138,qx,RNKLF,0.306,-4.67,"157,302","510,617",76
139,qb,GTBP,0.41,+8.75,"152,613","378,783",99
140,qb,EMBI,0.66,-1.49,"151,066","213,811",117
141,qx,PTOTF,1.61,-1.47,"147,558","93,779",169
142,qx,CALB,19.25,+0.05,"146,050","7,600",2
143,qx,AKBTY,1.92,-4.95,"139,550","71,609",113
144,qb,AXIM,1.20,0.00,"133,793","114,617",112
145,qb,AUSAF,0.7318,-4.74,"130,832","176,913",117
146,qb,AUIAF,2.5284,-14.86,"129,795","51,872",104
147,qb,CURR,3.30,+5.43,"127,750","40,633",56
148,qx,LGORF,1.2727,+2.64,"126,959","101,678",109
149,qx,LXRP,1.0104,-0.94,"126,812","126,029",86
150,qx,GRWG,2.65,-3.28,"126,397","48,131",93
151,qb,KNWN,1.60,-12.57,"126,321","70,818",46
152,qb,SEDO,2.70,-1.82,"123,760","45,842",46
153,qb,FMCCM,16.70,0.00,"122,890","7,360",18
154,qb,XCUR,2.97,+7.61,"122,723","43,237",75
155,qx,FSNUY,14.18,-0.67,"121,775","8,527",32
156,qx,ATUSF,9.42,-0.84,"121,562","12,872",65
157,qx,IEHC,17.99,-3.02,"120,559","6,795",16
158,qx,CANN,1.60,-1.42,"118,642","73,497",162
159,qx,WAYN,20.70,-0.24,"117,743","5,722",17
160,qb,CHOOF,0.3921,-4.37,"116,136","288,218",157
161,qx,AWCMY,6.1395,-1.45,"113,888","18,536",48
162,qx,CNNEF,3.01,0.00,"113,072","37,450",10
163,qx,IVITF,0.5103,-0.12,"111,210","225,505",114
164,qb,INND,0.094,+1.08,"109,700","1,277,597",119
165,qb,GXXM,0.0012,+50.00,"109,344","110,523,378",233
166,qx,MGPHF,0.20,-11.19,"109,289","528,155",52
167,qx,HRST,17.015,+13.43,"103,702","6,388",33
168,qx,NASB,41.00,0.00,"100,860","2,460",2
169,qb,ISOLF,0.7963,-6.54,"100,732","124,279",123
