Symbol,Company Name,Security Type,Caveat Emptor,OTC Tier
AAAG,"AAA Century Group USA, Inc.",Common Stock,N,Grey Market
AAAIF,Alternative Investment Trust,Fund,N,Grey Market
AAALF,Aareal Bank AG,Ordinary Shares,N,Grey Market
AAALY,Aareal Bank AG,American Depository Receipts,N,Pink Current
AAARF,Aluar Aluminio Argentino S.A.I.C.,Ordinary Shares,N,Grey Market
AABB,"Asia Broadband, Inc.",Common Stock,N,Pink Current
AABVF,Aberdeen International Inc.,Ordinary Shares,N,Pink Current
AACAF,AAC Technologies Holdings Inc,Ordinary Shares,N,Pink Current
AACAY,AAC Technologies Holdings Inc,American Depository Receipts,N,Pink Current
AACMF,"Asia Cement Corp., Ltd.",Ordinary Shares,N,Grey Market
AACMZ,"Asia Cement Corp., Ltd.",American Depository Receipts,N,Grey Market
AACS,"American Commerce Solutions, Inc.",Common Stock,N,Pink No Information
AACTF,Aurora Solar Technologies Inc.,Ordinary Shares,N,Pink Current
AAEEF,Altair Res Inc,Common Stock,N,Grey Market
AAFGF,Anglo African Oil & Gas Ltd.,Ordinary Shares,N,Grey Market
AAGC,All American Gold Corp.,Common Stock,Y,Pink No Information
AAGEF,AAG Energy Holdings Ltd,Ordinary Shares,N,Grey Market
AAGH,America Great Health,Common Stock,N,Pink No Information
AAGIY,"AIA Group, Ltd.",American Depository Receipts,N,Pink Current
AAGRY,Astra Agro Lestari TBK,American Depository Receipts,N,Pink Current
AAHIF,"Asahi Co., Ltd.",Ordinary Shares,N,Pink Current
AAIGF,"AIA Group, Ltd.",Ordinary Shares,N,Pink Current
AAIIQ,"Alabama Aircraft Industries, Inc.",Common Stock,N,Pink No Information
AAINF,Asiabasemetals Inc,Ordinary Shares,N,Grey Market
AAIR,"Avantair, Inc.",Common Stock,Y,Grey Market
AALBF,A. Alberts Industries,Ordinary Shares,N,Grey Market
AAMAF,Atlas Mara Co Nvest Ltd.,Ordinary Shares,N,Pink Current
AAMMF,Almadex Minerals Ltd.,Ordinary Shares,N,Pink Current
AAMTF,Armada Mercantile Ltd.,Ordinary Shares,N,Pink Current
AANC,Andover National Corporation,Common Stock,N,Grey Market
AANNF,Aroundtown SA,Ordinary Shares,N,Pink Current
AAPH,"American Petro-Hunter, Inc.",Common Stock,Y,Grey Market
AAPJ,"AAP, Inc.",Common Stock,N,Pink No Information
AAPT,"All American Pet Company, Inc.",Common Stock,N,Pink No Information
AASL,"America's Suppliers, Inc.",Common Stock,N,Pink No Information
AASP,"All-American SportPark, Inc.",Common Stock,N,Pink Current
AAST,Allied American Steel Corp.,Common Stock,Y,Grey Market
AASZF,Atlantic Sapphire AS,Ordinary Shares,N,Grey Market
AATAF,Arata Corp.,Ordinary Shares,N,Grey Market
AATDF,AA LTD,Ordinary Shares,N,Pink Current
AATGF,ATI Airtest Technologies Inc.,Ordinary Shares,N,Grey Market
AATP,Agape ATP Corporation,Common Stock,N,Pink Current
AATRL,AMG Capital Trust II,Preferred Stock,N,Pink Current
AATV,"Adaptive Ad Systems, Inc.",Common Stock,N,Pink Current
AAUKF,Anglo American plc,Ordinary Shares,N,OTCQX International Premier
AAVVF,Advantage Oil & Gas Ltd.,Common Stock,N,Pink Current
AAVXF,Abivax SA,Ordinary Shares,N,Pink Current
AAWC,Alexandria Advantage Warranty Company,Common Stock,N,Pink No Information
AAXT,"Aamaxan Transport Group, Inc.",Common Stock,N,Pink No Information
AAYYY,Australian Agricultural Co Ltd.,American Depository Receipts,N,Grey Market
ABAHF,Abacus Health Products Inc,Ordinary Shares,N,Pink Current
ABAKF,Aberdeen Asia-Pacific Income Investment Co. Ltd.,Ordinary Shares,N,Grey Market
ABBAF,Aberdeen Asian Income Fund,Ordinary Shares,N,Pink Current
ABBB,"Auburn Bancorp, Inc.",Common Stock,N,Pink Current
ABBRF,AbraPlata Resource Corp.,Ordinary Shares,N,Pink Current
ABBY,"Abby, Inc.",Common Stock,N,Pink No Information
ABCAF,Athabasca Minerals Inc.,Ordinary Shares,N,Pink Current
ABCE,"ABCO Energy, Inc.",Common Stock,N,OTCQB
ABCFF,Abacus Mining & Exploration Corp.,Ordinary Shares,N,Pink Current
ABCP,AmBase Corp.,Common Stock,N,Pink Current
ABCR,ABC Records Management and Data Storage Inc,Common Stock,Y,Grey Market
ABCZF,Abcam PLC,Ordinary Shares,N,Pink Current
ABCZY,Abcam PLC,American Depository Receipts,N,Pink Current
ABDDF,Ab Dynamics PLC,Ordinary Shares,N,Pink Current
ABDR,Ambassador Food Services Corp.,Common Stock,N,Pink No Information
ABEC,Analytica Bio-Energy Corp.,Common Stock,Y,Grey Market
ABENU,Advanced Bioenergy LLC,Units,N,Grey Market
ABEPF,Vision Lithium Inc.,Ordinary Shares,N,OTCQB
ABETF,Volt Energy Corp.,Common Stock,N,Grey Market
ABEYF,Abbey Plc.,Ordinary Shares,N,Grey Market
ABFOF,Abertis Infraestructuras SA,Ordinary Shares,N,Pink No Information
ABFRF,Aberforth Smaller Companies Trust PLC,Ordinary Shares,N,Grey Market
ABFXF,ABF Pan Asia Bond Index Fund,Fund,N,Grey Market
ABGLF,Acacia Mining PLC,Ordinary Shares,N,Pink Current
ABGLY,Acacia Mining PLC,American Depository Receipts,N,Grey Market
ABGOF,Abengoa S.A.,Ordinary Shares,N,Pink Current
ABGOY,Abengoa S.A.,American Depository Receipts,N,Pink Current
ABGSF,ABG Sundal Collier ASA,Ordinary Shares,N,Pink Current
ABKB,"American Basketball Association, Inc.",Common Stock,N,Pink No Information
ABLE,"Able Energy, Inc.",Common Stock,Y,Grey Market
ABLGF,Alten Boulogne-Billancourt,Ordinary Shares,N,Grey Market
ABLT,"American Biltrite, Inc.",Common Stock,N,Pink Limited
ABLZF,ABB Ltd.,Ordinary Shares,N,Pink Current
ABMBF,Abcourt Mines Inc.,Ordinary Shares,N,Pink Current
ABMC,American Bio Medica Corp.,Common Stock,N,Pink Current
ABMMF,Prodigy Gold NL,Ordinary Shares,N,Grey Market
ABMRF,ABN Amro Group NV,Other Security Type,N,Pink Current
ABMT,"Advanced BioMedical Technologies, Inc.",Common Stock,N,OTCQB
ABNAF,"Aben Resources, Ltd.",Ordinary Shares,N,OTCQB
ABNC,"American Bancorp, Inc.",Common Stock,N,Pink Current
ABNK,AltaPacific Bancorp,Common Stock,N,Pink Current
ABNRY,ABN Amro Group NV,American Depository Receipts,N,Pink Current
ABPA,"Allegiance Bank of North America (Bala Cynwyd, PA)",Common Stock,N,Pink No Information
ABPR,"Airborne Security & Protective Services, Inc.",Common Stock,N,Pink No Information
ABQQ,AB INTL Group Corp.,Common Stock,N,OTCQB
ABRTY,Abertis Infraestructuras SA,American Depository Receipts,N,Pink No Information
ABSCF,"AB Science, Paris",Ordinary Shares,N,Pink Current
ABSOF,ABS-CBN Holdings Corp,Other Security Type,N,Grey Market
ABSR,American Business Services Inc.,Common Stock,N,Pink No Information
ABSSF,AirBoss of America Corp.,Ordinary Shares,N,Pink Current
ABTBF,AB Biotics,Ordinary Shares,N,Grey Market
ABTO,AB&T Financial Corp. (NC),Common Stock,N,Pink Current
ABTPF,Aubay Technology Levallors Perrett,Ordinary Shares,N,Grey Market
ABTZY,"Aboitiz Equity Ventures, Inc.",American Depository Receipts,N,Pink Current
ABVC,American BriVision (Holding) Corporation,Common Stock,N,OTCQB
ABVG,"Affinity Beverage Group, Inc.",Common Stock,N,Pink No Information
ABVN,ABV Consulting Inc.,Common Stock,N,OTCQB
ABWN,Airborne Wireless Network,Common Stock,N,Pink Current
ABYB,Amboy Bancorporation,Common Stock,N,Pink Current
ABZPF,Aboitiz Power Corp.,Ordinary Shares,N,Pink Current
ABZPY,Aboitiz Power Corp.,American Depository Receipts,N,Pink Current
ABZT,"Ablaze Technologies, Inc.",Common Stock,Y,Grey Market
ABZUF,"Abzu Gold, Ltd.",Ordinary Shares,Y,Grey Market
ACAN,Americann Inc.,Common Stock,N,OTCQB
ACAVF,ACE Aviation Holdings Inc.,Ordinary Shares,N,Grey Market
ACAZF,Acadian Timber Corp,Ordinary Shares,N,Pink Current
ACBCQ,Albina Community Bancorp,Common Stock,N,Pink No Information
ACBD,Annabidiol Corp.,Common Stock,N,Pink Current
ACBM,"Acro Biomedical Co., Ltd.",Common Stock,N,OTCQB
ACCA,"Acacia Diversified Holdings, Inc.",Common Stock,N,OTCQB
ACCFF,Accord Financial Corp.,Ordinary Shares,N,Pink Current
ACCLL,AL-Corn Clean Fuel LLC,Units,N,Grey Market
ACCMF,AAC MICROTEC AB,Ordinary Shares,N,Pink Current
ACCR,"Access-Power, Inc.",Common Stock,N,Grey Market
ACCYY,Accor SA Ltd.,American Depository Receipts,N,Pink Current
ACDSF,Ascendas Real Estate Investment Trust,Fund,N,Pink Current
ACDVF,Air Canada,Ordinary Shares,N,OTCQX International Premier
ACEEU,Ace Ethanol LLC,Units,N,Grey Market
ACEHF,Ace Hardware Indonesia Tbk,Ordinary Shares,N,Grey Market
ACEIY,Acer Inc.,Global Depository Receipts,N,Grey Market
ACETQ,Aceto Corp.,Common Stock,N,Pink Current
ACEYY,Acer Inc.,Global Depository Receipts,N,Grey Market
ACEZ,"Ariel Clean Energy, Inc.",Common Stock,N,Pink No Information
ACFFF,Accordia Golf Trust,Units,N,Grey Market
ACFL,"AMC Financial Holdings, Inc.",Common Stock,N,Pink No Information
ACFN,"Acorn Energy, Inc.",Common Stock,N,OTCQB
ACGBF,Agricultural Bank of China,Ordinary Shares,N,Pink Current
ACGBY,Agricultural Bank of China,American Depository Receipts,N,Pink Current
ACGI,"Amacore Group, Inc. (The)",Common Stock,N,Pink No Information
ACGJ,ACI Global Corp.,Common Stock,Y,Grey Market
ACGPF,Accell Group NV,Ordinary Shares,N,Pink Current
ACGX,"Alliance Creative Group, Inc.",Common Stock,N,Pink Current
ACGYF,Subsea 7 S.A.,Ordinary Shares,N,Pink Current
ACHFF,Arch Biopartners Inc.,Ordinary Shares,N,OTCQB
ACJJF,Acom Co. Ltd.,Ordinary Shares,N,Grey Market
ACKAF,Arcelik  A.S.,Ordinary Shares,N,Grey Market
ACKAY,Arcelik  A.S.,American Depository Receipts,N,Pink Current
ACKDF,Auckland International Airport Ltd.,Ordinary Shares,N,Pink Current
ACKRF,"American Creek Resources, Ltd.",Ordinary Shares,N,Pink Current
ACLD,Acquire Ltd.,Common Stock,N,Pink No Information
ACLH,"Act Clean Technologies, Inc.",Common Stock,Y,Grey Market
ACLLF,Atco Ltd.,Ordinary Shares,N,Pink Current
ACLTF,Atco Ltd.,Ordinary Shares,N,Grey Market
ACLZ,Accelerize Inc.,Common Stock,N,OTCQB
ACMB,Agro Capital Management Corp,Common Stock,N,Pink No Information
ACMC,American Church Mortgage Co.,Common Stock,N,Pink Current
ACMDY,Atlas Consolidated Mining & Development Corp.,American Depository Receipts,N,Pink Current
ACMHY,Ascom Holding AG,American Depository Receipts,N,Grey Market
ACMLF,Ascom Holding AG,Ordinary Shares,N,Grey Market
ACMT,ACMAT Corp.,Common Stock,N,Pink No Information
ACMTA,ACMAT Corp.,Common Stock,N,Pink No Information
ACMUY,Acom Co. Ltd.,American Depository Receipts,N,Pink Current
ACNDF,Ascendas India Trust,Fund,N,Pink Current
ACNE,"Alice Consolidated Mines, Inc.",Common Stock,N,Pink No Information
ACNFF,Amsterdam Commodities N.V.,Ordinary Shares,N,Grey Market
ACNI,"American Community Newspapers, Inc.",Common Stock,Y,Pink No Information
ACNNF,AusCann Group Holdings Ltd.,Ordinary Shares,N,OTCQX International
ACNV,"Accelera Innovations, Inc.",Common Stock,N,Pink No Information
ACOPF,A2 Milk Co Ltd.,Ordinary Shares,N,Pink Current
ACOSF,Archos ACT.Nom,Ordinary Shares,N,Grey Market
ACPOQ,"Anthracite Capital, Inc.",Preferred Stock,Y,Grey Market
ACPPQ,"Anthracite Capital, Inc.",Preferred Stock,Y,Grey Market
ACPQF,Added Cap Inc.,Ordinary Shares,N,Grey Market
ACPS,AC Partners Inc.,Common Stock,N,Pink Current
ACPZF,ALICORP SAA,Ordinary Shares,N,Grey Market
ACRB,"Asia Carbon Industries, Inc.",Common Stock,N,Pink No Information
ACRFF,Accor SA Ltd.,Ordinary Shares,N,Pink Current
ACRGF,Acreage Holdings Inc.,Ordinary Shares,N,OTCQX International
ACRL,"Atacama Resources International, Inc.",Common Stock,N,Pink Current
ACRT,Advanced Credit Technologies Inc,Common Stock,N,Pink Current
ACSAF,ACS Actividades De Construccion Y Servicios SA,Ordinary Shares,N,Pink Current
ACSAY,ACS Actividades De Construccion Y Servicios SA,American Depository Receipts,N,Pink Current
ACSBL,Access Bk Nigeria Plc,Global Depository Receipts,N,Grey Market
ACSEF,"ACS Motion Control, Ltd.",Ordinary Shares,N,Pink No Information
ACSOF,"Arcs Co., Ltd.",Ordinary Shares,N,Grey Market
ACSSF,Acasta Enterprises Inc.,Ordinary Shares,N,Grey Market
ACSYF,Accsys Technologies Plc.,Ordinary Shares,N,Grey Market
ACTL,"Artec Global Media, Inc.",Common Stock,N,Pink No Information
ACTPF,Ascent Resources plc,Ordinary Shares,N,Grey Market
ACTRF,Ascott Residence Trust,Fund,N,Grey Market
ACTZF,Accton Technology Corp.,Ordinary Shares,N,Grey Market
ACUIF,AcuityAds Hldgs Inc.,Ordinary Shares,N,Pink Current
ACUR,"Acura Pharmaceuticals, Inc.",Common Stock,N,OTCQB
ACUS,"Acusphere, Inc.",Common Stock,N,Pink No Information
ACWRF,Acceleware Ltd.,Ordinary Shares,N,Pink Current
ACXIF,Acciona S.A.,Ordinary Shares,N,Pink Current
ADAC,Adama Technologies Corp.,Common Stock,Y,Pink No Information
ADAD,Adaiah Distribution Inc.,Common Stock,N,Pink No Information
ADAPL,Adelphia Recovery Trust,Other Security Type,N,Grey Market
ADBCF,Adelaide Brighton Ltd.,Ordinary Shares,N,Pink Current
ADBN,"Americana Distribution, Inc.",Common Stock,Y,Grey Market
ADCC,"Savenergy Holdings, Inc.",Common Stock,Y,Grey Market
ADCV,"AD Capital U.S., Inc.",Common Stock,N,Grey Market
ADDC,Addmaster Corp.,Common Stock,N,Pink No Information
ADDDF,adidas AG,Ordinary Shares,N,OTCQX International Premier
ADDHY,Addtech AB,American Depository Receipts,N,Pink Current
ADDLF,ADDLIFE AB,Ordinary Shares,N,Pink Current
ADDXF,Addex Pharmaceuticals Ltd.,Ordinary Shares,N,Grey Market
ADDYY,adidas AG,American Depository Receipts,N,OTCQX International Premier
ADEC,Alternative Energy Development Corp.,Common Stock,Y,Grey Market
ADERY,"Aida Engineering Co., Ltd.",American Depository Receipts,N,Pink Current
ADEXF,Advanced Explorations Inc.,Ordinary Shares,Y,Grey Market
ADFJF,ADF Group Inc.,Ordinary Shares,N,Grey Market
ADFS,"American Defense Systems, Inc.",Common Stock,N,Pink No Information
ADFT,"Adfitech, Inc.",Common Stock,N,Pink No Information
ADGL,"AllDigital Holdings, Inc.",Common Stock,N,Pink No Information
ADGO,Advantego Corporation,Common Stock,N,OTCQB
ADGPF,Allied Group Ltd.,Ordinary Shares,N,Pink Current
ADGRF,Albert Technologies Ltd.,Ordinary Shares,N,Grey Market
ADGS,"ADGS Advisory, Inc.",Common Stock,N,Pink No Information
ADHC,American Diversified Holdings Corp.,Common Stock,N,Pink Current
ADHG,Ando Holdings Ltd.,Common Stock,N,OTCQB
ADHLF,Applied Development Holdings Ltd.,Ordinary Shares,N,Grey Market
ADHMY,Advanced Digital Health Medicina Preventiva SA,American Depository Receipts,N,Pink Current
ADIA,"Adia Nutrition, Inc.",Common Stock,N,Pink No Information
ADIWW,"Adial Pharmaceuticals, Inc.",Warrants,N,Pink Current
ADKCF,Adeka Corp.,Ordinary Shares,N,Grey Market
ADKIL,Adkins Energy LLC,Units,N,Grey Market
ADKT,"Adirondack Trust Co. (Saratoga Springs, NY)",Common Stock,N,Pink Current
ADLDY,Adelaide Brighton Ltd.,American Depository Receipts,N,Pink Current
ADLI,"American Medical Technologies, Inc.",Common Stock,Y,Pink No Information
ADLS,"Advanced Life Sciences Holdings, Inc.",Common Stock,Y,Grey Market
ADMG,Adamant DRI Processing and Minerals Group,Common Stock,N,OTCQB
ADMLF,Adriatic Metals PLC,Other Security Type,N,Pink Current
ADMT,"ADM Tronics Unlimited, Inc.",Common Stock,N,OTCQB
ADMV,Adamas Ventures Inc.,Common Stock,N,Pink No Information
ADNY,Adino Energy Corp.,Common Stock,N,Pink No Information
ADOB,Adorbs Inc.,Common Stock,N,Pink Current
ADOCF,Adocia ACT,Ordinary Shares,N,Grey Market
ADOCY,Adocia ACT,American Depository Receipts,N,Pink Current
ADOOY,Adaro Energy PT,American Depository Receipts,N,Pink Current
ADPAA,Adelphia Recovery Trust,Ordinary Shares,N,Grey Market
ADPAB,Adelphia Recovery Trust,Other Security Type,N,Grey Market
ADPAJ,Adelphia Recovery Trust,Rights,N,Grey Market
ADPAK,Adelphia Recovery Trust,Other Security Type,N,Grey Market
ADPAS,Adelphia Recovery Trust,Rights,N,Grey Market
ADPBK,Adelphia Recovery Trust,Other Security Type,N,Grey Market
ADPPF,ADO PPTYS S A,Ordinary Shares,N,Grey Market
ADPXY,Audio Pixels Holdings Ltd,American Depository Receipts,N,Pink Current
ADRNY,Koninklijke Ahold Delhaize N.V.,American Depository Receipts,N,OTCQX International Premier
ADRZF,Andritz AG,Ordinary Shares,N,Pink Current
ADRZY,Andritz AG,American Depository Receipts,N,Pink Current
ADST,"AdStar, Inc.",Common Stock,Y,Grey Market
ADSV,"Allied Security Innovations, Inc.",Common Stock,N,Pink No Information
ADTC,"Advanced Deposition Technologies, Inc.",Common Stock,N,Pink No Information
ADTFF,Imetal Res Inc.,Ordinary Shares,N,Grey Market
ADTM,"Adaptive Medias, Inc.",Common Stock,N,Pink No Information
ADTR,Alliance Media Holdings Inc.,Common Stock,N,Pink No Information
ADTTF,Advantest Corp.,Ordinary Shares,N,Pink Current
ADTY,"Adtegrity.com International, Inc.",Common Stock,N,Pink No Information
ADVC,Advant-e Corp.,Common Stock,N,Pink No Information
ADVOF,ADVA AG Optical Networking,Ordinary Shares,N,Pink Current
ADVT,Advantis Corporation,Common Stock,N,Pink Current
ADVV,Adveco Group Inc.,Common Stock,N,Pink Current
ADVZF,Adventus Zinc Corporation,Common Stock,N,OTCQX International
ADWPF,Andrew Peller Ltd.,Ordinary Shares,N,Grey Market
ADXDF,"Adex Mining, Inc.",Ordinary Shares,N,Grey Market
ADXRF,ADX Energy Ltd.,Ordinary Shares,N,Pink Current
ADYYF,Adyen N.V.,Ordinary Shares,N,Pink Current
ADZCF,Deutsche Bank Aktiengesellschaft,Exchange-Traded Fund,N,Pink Current
ADZZF,Advance Residence Investment Corp.,Ordinary Shares,N,Grey Market
AEBLF,American Biofuels Inc.,Ordinary Shares,N,Grey Market
AEBMY,Anadolu Efes Biracilik Ve Malt AS,American Depository Receipts,N,Grey Market
AEBZY,Anadolu Efes Biracilik Ve Malt AS,American Depository Receipts,N,Pink Current
AECFF,Action Energy Inc.,Ordinary Shares,N,Grey Market
AECLY,AE & CI Ltd.,American Depository Receipts,N,Grey Market
AEDC,American Energy Development Corp.,Common Stock,Y,Grey Market
AEDFF,"Aedifica Sicafi, Bruxelles",Ordinary Shares,N,Grey Market
AEEI,"American Environmental Energy, Inc.",Common Stock,N,Pink No Information
AEEX,"Asia Equity Exchange Group, Inc.",Common Stock,N,Pink No Information
AEGG,"American Energy Group, Ltd. (THE)",Common Stock,N,OTCQB
AEGOF,Aegon N.V.,Ordinary Shares,N,Pink Current
AEGXF,Aecon Group Inc.,Ordinary Shares,N,Pink Current
AEGY,Alternative Energy Partners Inc.,Common Stock,Y,Grey Market
AEIIF,Alelion Energy Systems AB,Ordinary Shares,N,Grey Market
AELEF,Alpine Electronics Inc.,Ordinary Shares,N,Pink Current
AELIY,Anadolu Hayat Emeklilik AS,American Depository Receipts,N,Grey Market
AELTF,Adacel Technologies Ltd.,Ordinary Shares,N,Pink Current
AEMC,"Archer Entertainment Media Communications, Inc.",Common Stock,N,Pink No Information
AEMMF,A2A SpA,Ordinary Shares,N,Grey Market
AEMMY,A2A SpA,American Depository Receipts,N,Pink Current
AENG,"Advanced Engine Technologies, Inc.",Common Stock,N,Pink No Information
AEOIF,"AEON Thana Sinsap Thailand Public Co., Ltd.",Ordinary Shares,N,Grey Market
AEOJF,"Aeon Financial Services Co., Ltd.",Ordinary Shares,N,Grey Market
AEOMF,Aeon Metals Ltd.,Ordinary Shares,N,Grey Market
AEOXF,Aeroports de Paris ADP,Ordinary Shares,N,Pink Current
AEPLF,Anglo Eastern Plantation plc,Ordinary Shares,N,Pink Current
AEPT,"American Energy Partners, Inc.",Common Stock,Y,Pink Limited
AERAY,PJSC Aeroflot Russian Airlines,Global Depository Receipts,N,Grey Market
AERG,"Applied Energetics, Inc.",Common Stock,N,OTCQB
AERGP,"Applied Energetics, Inc.",Preferred Stock,N,OTCQB
AERN,"AER Energy Resources, Inc.",Common Stock,Y,Grey Market
AERO,"Aero Grow International, Inc.",Common Stock,N,OTCQB
AERS,Aerius,Common Stock,N,Pink No Information
AERZY,PJSC Aeroflot Russian Airlines,American Depository Receipts,N,Pink Current
AESO,"Atlantic Energy Solutions, Inc.",Common Stock,N,Grey Market
AESTY,AES Tiete Energia SA,American Depository Receipts,N,Pink Current
AETUF,Arc Resources Ltd.,Ordinary Shares,N,Pink Current
AEVEF,Arena Events Group PLC,Ordinary Shares,N,Pink Current
AEWRF,AEW UK REIT PLC REIT,Ordinary Shares,N,Pink Current
AEXAF,Atos Origin SA,Ordinary Shares,N,Pink Current
AEXAY,Atos Origin SA,American Depository Receipts,N,Pink Current
AEXE,Aim Exploration Inc.,Common Stock,N,Pink No Information
AEXFF,Aminex PLC,Ordinary Shares,N,Pink Current
AFAP,"AFA Protective Systems, Inc.",Common Stock,N,Pink No Information
AFBA,"Allied First Bancorp, Inc.",Common Stock,N,Pink Current
AFBG,"American Fiber Green Products, Inc.",Common Stock,N,Pink No Information
AFBOF,African Rainbow Minerals Ltd.,Ordinary Shares,N,Pink Current
AFCJF,AFC Ajax NV,Ordinary Shares,N,Grey Market
AFCL,Amcor Financial Corp.,Common Stock,N,Grey Market
AFDVF,AFI Development PLC,Ordinary Shares,N,Grey Market
AFFL,Affiliated Resources Corp.,Common Stock,N,Grey Market
AFFN,"Affinity Networks, Inc.",Common Stock,N,Grey Market
AFFS,"AmTrust Financial Services, Inc.",Other Security Type,N,Pink Current
AFFT,"AmTrust Financial Services, Inc.",Other Security Type,N,Pink Current
AFFU,Affluence Corp.,Common Stock,N,Pink No Information
AFFY,"Affymax, Inc.",Common Stock,N,Pink No Information
AFGC,Africa Growth Corporation,Common Stock,N,Pink No Information
AFGVF,Agfa-Gavaert NV,Ordinary Shares,N,Grey Market
AFGVY,Agfa-Gavaert NV,American Depository Receipts,N,Pink Current
AFIDY,AFI Development PLC,Global Depository Receipts,N,Grey Market
AFIMF,Africa Israel Investments Ltd.,Ordinary Shares,N,Grey Market
AFIPA,AMFI Corp.,Common Stock,N,Pink No Information
AFLQF,Alfa Financial Software Holdings Ltd,Ordinary Shares,N,Grey Market
AFLYY,Air France-KLM,American Depository Receipts,N,Pink Current
AFMCF,African Metals Corp.,Ordinary Shares,N,Grey Market
AFMJF,Alphamin Resources Corp.,Ordinary Shares,N,Pink Current
AFML,"Aerofoam Metals, Inc.",Common Stock,N,Grey Market
AFNL,AmTrust Financial Corp.,Common Stock,N,Pink Current
AFOM,All For One Media Corp.,Common Stock,N,OTCQB
AFOVF,Australian Foundation Investment Co,Ordinary Shares,N,Grey Market
AFPW,AlumiFuel Power Corp.,Common Stock,N,Pink No Information
AFRAF,Air France-KLM,Ordinary Shares,N,Pink Current
AFRBY,African Rainbow Minerals Ltd.,American Depository Receipts,N,Pink Current
AFRMF,Alphaform AG,Ordinary Shares,N,Pink No Information
AFRS,"American First Financial, Inc.",Common Stock,Y,Grey Market
AFRVF,African Bank Investments Ltd.,Ordinary Shares,N,Grey Market
AFSIA,"AmTrust Financial Services, Inc.",Preferred Stock,N,Pink Current
AFSIB,"AmTrust Financial Services, Inc.",Preferred Stock,N,Pink Current
AFSIC,"AmTrust Financial Services, Inc.",Preferred Stock,N,Pink Current
AFSIM,"AmTrust Financial Services, Inc.",Preferred Stock,N,Pink Current
AFSIN,"AmTrust Financial Services, Inc.",Preferred Stock,N,Pink Current
AFSIP,"AmTrust Financial Services, Inc.",Preferred Stock,N,Pink Current
AFSLF,Amiad Filtration Systems Ltd.,Ordinary Shares,N,Grey Market
AFTC,"Alternative Fuel Technologies, Inc.",Common Stock,N,Pink No Information
AFTM,"AfterMaster, Inc.",Common Stock,N,OTCQB
AFTPF,Afterpay Touch Group Ltd.,Ordinary Shares,N,Pink Current
AFTTF,Afritin Mng Ltd.,Ordinary Shares,N,Pink Current
AFXXF,AF AB,Ordinary Shares,N,Pink Current
AFYG,Affinity Gold Corp.,Common Stock,N,Pink No Information
AGAAF,Altagas Canada Inc.,Ordinary Shares,N,Pink Current
AGATF,Deutsche Bank Aktiengesellschaft,Structured Product,N,Pink Current
AGCBF,Amarillo Gold Corp.,Ordinary Shares,N,OTCQB
AGCCF,Gensource Potash Corp.,Ordinary Shares,N,Grey Market
AGCZ,Andes Gold Corp.,Common Stock,N,Pink No Information
AGDXF,Antioquia Gold Inc,Ordinary Shares,N,Pink Current
AGDY,"Agri-Dynamics, Inc.",Common Stock,N,Pink No Information
AGEEF,Halo Labs Inc.,Ordinary Shares,N,OTCQX International
AGESF,ageas SA/NV,Ordinary Shares,N,Grey Market
AGESY,ageas SA/NV,American Depository Receipts,N,Pink Current
AGFMF,AGF Management Ltd.,Ordinary Shares,N,Pink Current
AGFXF,Deutsche Bank AG (London Branch),Other Security Type,N,Pink Current
AGGFD,African Gold Group Inc.,Ordinary Shares,N,Grey Market
AGGG,Antilia Group Corp,Common Stock,N,Pink Current
AGGHF,Agrios Global Holdings Ltd.,Ordinary Shares,N,OTCQB
AGGI,"Allied Energy, Inc.",Common Stock,N,Pink No Information
AGGKY,Aggreko PLC,American Depository Receipts,N,Grey Market
AGGL,"AgTech Global International, Inc.",Common Stock,N,Pink No Information
AGGNY,Aegean Airls SA,American Depository Receipts,N,Grey Market
AGGX,"AngioGenex, Inc.",Common Stock,N,Pink Current
AGGZF,AG Growth International Inc.,Ordinary Shares,N,Pink Current
AGHC,Aeon Global Health Corp.,Common Stock,N,OTCQB
AGHEF,"Agility Health, Inc.",Ordinary Shares,N,Grey Market
AGHI,"Agora Holdings, Inc.",Common Stock,N,Pink No Information
AGIN,American Graphite Technologies Inc.,Common Stock,N,Pink No Information
AGLAF,Aguila American Gold Ltd.,Ordinary Shares,N,Grey Market
AGLDF,Austral Gold Ltd.,Ordinary Shares,N,Grey Market
AGLNF,AGL Energy Ltd,Ordinary Shares,N,Pink Current
AGLT,Angel Telecom Corp.,Common Stock,N,Pink No Information
AGLXY,AGL Energy Ltd,American Depository Receipts,N,Pink Current
AGMJF,Algoma Centennial Corp.,Ordinary Shares,N,Grey Market
AGMMF,Aggregated Micro Pwr Hldgs PLC,Ordinary Shares,N,Grey Market
AGOAF,Abengoa S.A.,Ordinary Shares,N,Pink Current
AGOWF,Abengoa SA,Warrants,N,Pink Current
AGPDF,Amer Sports Oyi,Ordinary Shares,N,Pink Current
AGPDY,Amer Sports Oyi,American Depository Receipts,N,Pink Current
AGPIF,Anglo Pacific Resources Plc,Ordinary Shares,N,Grey Market
AGPKF,Augros Cosmetic Packaging SA,Ordinary Shares,N,Grey Market
AGPL,"Apple Green Holding, Inc.",Common Stock,N,Pink No Information
AGPPF,Anglo American Platinum Ltd.,Ordinary Shares,N,Pink Current
AGPYF,Agile Group Holdings Limited,Ordinary Shares,N,Pink Current
